Вершины,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
1,0,4,0,0,0,18,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,18,0,0,0,0,0,1,8,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,17,0,0,0,18,12,8,0,0,15,0,0,0,0,0,0,15,0,0,6,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,3,0,5,18,0,0,0,0,0,0,0,14,0,0,0,0,8,11,14
2,4,0,5,13,12,15,0,0,14,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,16,0,1,10,0,8,0,0,9,0,0,0,0,19,15,0,17,0,0,13,20,0,0,13,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,10,0,0,10,0,0,0,0,0,0,0,0,0,20,0,0,0,3,0,0,0
3,0,5,0,0,16,19,0,12,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,11,15,0,0,0,0,0,9,0,0,0,0,0,16,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,5,0,0,0,11,3,0,0,0,0,0,0,0,7,0,0,15,0,0,0,0,14,0,0,12,0,0,0,0,18,0,0,18,0,0
4,0,13,0,0,0,0,20,3,0,4,0,0,0,0,13,0,0,19,0,0,0,0,0,2,0,20,0,0,0,2,19,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,14,0,17,16,0,0,0,0,0,0,18,0,0,0,19,0,7,0,0,0,19,0,0,0,0,18,0,0,14,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0
5,0,12,16,0,0,0,10,3,0,0,0,0,0,0,0,0,0,2,4,0,0,0,14,0,0,0,0,5,10,0,0,0,0,9,0,0,0,0,0,0,11,0,0,0,17,0,0,8,10,16,0,0,17,0,0,20,0,0,9,0,0,14,0,0,0,0,0,0,0,0,0,0,2,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,15,0,0
6,18,15,19,0,0,0,0,0,0,0,0,0,0,0,2,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,10,0,0,0,17,0,0,0,0,0,0,3,3,0,18,0,0,0,0,0,0,2,18,11,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,2,0,16,0,0,0,0,18,0,10,0,0,0
7,0,0,0,20,10,0,0,0,0,9,11,13,0,0,8,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,18,0,0,0,17,0,0,0,0,0,0,0,0,0,5,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,16,0,0,0,5,20,0,0,0,19,8,0,0,5,0,0,0,0,0,11,0,0
8,0,0,12,3,3,0,0,0,0,11,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,8,0,0,0,13,20,0,1,0,0,0,0,8,0,15,0,0,0,0,0,7,0,0,0,0,0,0,0,0,4,0,0,0,0,0,18,6,19,0,0,0,11,0,0,0,0,14,0,8,0,0,0,11,0,0,10,7,0,0,0,0,13,0,6,14,0,0,0,0,0,14,0
9,0,14,0,0,0,0,0,0,0,0,0,0,19,0,10,0,10,0,0,19,0,16,0,9,0,0,11,0,0,0,0,10,0,0,19,0,15,0,0,11,0,0,0,0,0,9,0,0,0,0,0,0,16,0,0,0,10,0,0,0,5,20,0,11,0,4,0,0,12,0,0,0,0,0,0,0,6,4,0,0,0,0,0,1,0,0,0,1,0,18,0,10,0,0,11,0,0,0,0,0
10,0,0,0,4,0,0,9,11,0,0,0,0,7,0,0,2,0,0,10,0,0,2,0,0,0,10,0,0,17,0,0,0,0,13,0,16,2,0,0,0,0,9,11,0,0,0,0,0,0,0,0,0,0,2,0,0,8,0,0,7,0,0,0,0,0,2,0,17,0,0,0,0,0,0,0,0,0,0,0,0,4,11,0,0,0,0,0,0,0,5,0,8,9,0,0,0,0,0,0,0
11,0,0,0,0,0,0,11,0,0,0,0,0,12,9,7,14,0,0,0,12,0,0,3,20,10,0,9,11,5,0,0,7,0,6,15,0,0,0,0,0,0,5,14,0,0,0,0,0,14,3,0,0,0,0,0,9,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0
12,0,0,0,0,0,0,13,8,0,0,0,0,0,0,0,0,17,0,0,0,9,14,8,0,15,0,0,0,0,0,0,0,0,7,0,4,1,0,9,0,0,0,0,0,9,0,11,7,0,0,0,16,7,0,0,0,0,0,0,0,0,2,0,0,0,0,6,0,0,0,0,4,0,0,0,0,0,13,14,0,0,14,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,12,0,0
13,0,0,0,0,0,0,0,0,19,7,12,0,0,7,0,0,0,0,0,0,0,10,20,0,0,0,0,0,2,0,0,0,14,0,0,0,0,6,0,0,7,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,11,0,18,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,9,0,0,0,3,17,0,0,0,0,3,18,0,0,5,0,12,0,6,0,0,0,0,0
14,0,0,8,0,0,0,0,0,0,0,9,0,7,0,5,10,0,4,0,10,0,2,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,8,0,0,0,0,0,0,14,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,17,0,0,9,0,3,0,11,9
15,0,0,0,13,0,2,8,0,10,0,7,0,0,5,0,0,0,0,0,16,0,10,0,0,0,5,0,0,0,0,12,0,0,0,0,0,0,8,9,0,0,0,0,0,20,0,8,0,0,0,1,0,0,0,18,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,7,0,0,0,6,0,0,0,0,18,0,0,10,0
16,0,0,0,0,0,0,0,0,0,2,14,0,0,10,0,0,0,4,8,0,0,0,0,0,0,1,0,12,0,6,0,5,0,0,0,0,3,19,15,0,0,0,0,9,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,18,0,18,0,19,0,0,0,2,0,0,0,0,17,3,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,11,0,0,0
17,11,0,0,0,0,16,0,0,10,0,0,17,0,0,0,0,0,0,12,0,0,0,0,0,5,0,0,0,0,0,0,7,19,12,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,5,0,1,9,0,0,0,0,10,0,0,0,0,0,0,4,19,0,0,0,0,10,0,0,4,0,0,0,11,0,0,0,20,0,0,0,0,0,0,0,6,0,7,0,5,0,0,0,0,0
18,0,0,0,19,2,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,14,0,0,13,0,0,0,0,0,0,6,0,8,0,0,0,2,0,0,0,0,5,0,11,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,1,0,12,12,5,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,5,0,0,14,0,0,0,0,19,0
19,0,0,0,0,4,0,17,0,0,10,0,0,0,0,0,8,12,0,0,2,3,0,0,0,0,0,0,0,0,0,0,17,0,0,18,0,0,0,0,0,0,0,17,0,0,18,13,0,0,0,13,0,0,0,0,0,0,0,0,3,0,11,0,0,0,0,0,5,19,4,0,0,19,0,17,0,0,0,0,0,0,0,0,0,0,11,0,0,0,6,0,10,0,0,0,0,0,0,0,0
20,0,0,0,0,0,0,0,0,19,0,12,0,0,10,16,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,0,0,0,0,0,0,4,6,0,0,3,0,0,0,7,0,0,0,0,0,0,11,19,0,0,0,0,0,0,0,0,0,0,0,19,0,13,16,7,18,0,0,0,0,0,0,0,18,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0
